OBJECTID_1,AreaCateg,POINT_X,POINT_Y
1,3,"501,114.858499996360000","158,251.396800000220000"
2,5,"512,938.403800003230000","213,268.147700000550000"
3,5,"520,974.622400000690000","213,111.060499999670000"
4,4,"503,283.323299996550000","212,225.679999999700000"
5,4,"512,765.698399998250000","207,438.127900000660000"
6,1,"516,835.448100000620000","157,326.811799999330000"
7,5,"515,430.717000000180000","205,901.932900000360000"
8,1,"518,462.062600001690000","157,473.795000001790000"
9,2,"520,894.764600001280000","169,411.946100000290000"
10,1,"513,955.889300003650000","181,897.116000000390000"
11,4,"534,870.385300002990000","180,973.020799998190000"
12,1,"516,689.640199996530000","156,688.854800000790000"
13,2,"513,330.691399998960000","182,748.785500001160000"
14,1,"514,208.898199997840000","182,274.383799999950000"
15,1,"514,506.967000000180000","182,273.219000000510000"
16,1,"514,207.531900003550000","182,228.833200000230000"
17,1,"514,232.891300000250000","182,006.971900001170000"
18,2,"500,050.871899999680000","166,527.596700001510000"
19,1,"514,325.619300000370000","182,481.136199999600000"
20,1,"516,123.335400000210000","157,005.404399998490000"
21,2,"508,243.037100002170000","129,614.259799998250000"
22,5,"534,445.920199997720000","179,766.105300001800000"
23,2,"519,321.808499999340000","178,010.511599998920000"
24,1,"518,290.594700001180000","158,168.891100000590000"
25,1,"517,678.548100002110000","157,712.061099998650000"
26,1,"510,209.062700003390000","194,546.508999999610000"
27,1,"518,263.501100003720000","157,570.209899999200000"
28,1,"518,277.867799997330000","159,828.516499999910000"
29,1,"515,583.861599996690000","156,939.686799999330000"
30,1,"529,008.370399996640000","165,402.591200001540000"
31,2,"512,272.801799997690000","188,892.404300000520000"
32,3,"525,930.648900002240000","164,432.681800000370000"
33,3,"520,861.233900003140000","173,270.335900001230000"
34,4,"521,295.455899998550000","184,401.114199999720000"
35,2,"538,912.767300002280000","146,764.895899999890000"
36,3,"519,883.285899996760000","150,100.334899999200000"
37,3,"535,240.808499999340000","149,648.228599999100000"
38,2,"494,356.547100000080000","96,547.224599998444000"
39,1,"505,124.715099997820000","87,909.288100000471000"
40,1,"517,018.511900000270000","156,437.798599999400000"
41,4,"516,869.016000002620000","145,942.920600000770000"
42,3,"508,113.037399999800000","145,872.051899999380000"
43,1,"516,868.077899999920000","156,168.281500000510000"
44,1,"538,460.884400002660000","145,788.502799998970000"
45,1,"516,898.762199997900000","156,041.830499999230000"
46,1,"517,036.634800001980000","158,006.143100000920000"
47,2,"516,458.952200002970000","157,798.286899998780000"
48,1,"516,912.781099997460000","157,788.828499998900000"
49,1,"518,243.177199997010000","157,786.653700001540000"
50,1,"517,759.265399999920000","157,423.170499999080000"
51,1,"515,895.716600000860000","157,042.529300000520000"
52,1,"517,943.111599996690000","157,260.973900001500000"
53,1,"516,209.863099999730000","157,249.210999999200000"
54,1,"515,542.708300001920000","157,066.978700000790000"
55,1,"517,508.721400000150000","156,985.329399999230000"
56,1,"516,908.888999998570000","156,978.383600000290000"
57,4,"502,828.664899997410000","151,246.230200000110000"
58,1,"516,131.668200001120000","152,064.101599998770000"
59,1,"515,524.328199997540000","156,925.449400000270000"
60,1,"498,138.857400000100000","119,871.492600001390000"
61,2,"511,064.940800003710000","91,379.070399999619000"
62,1,"517,973.358699999750000","157,761.683499999340000"
63,1,"515,999.168600000440000","151,492.748599998650000"
64,1,"521,217.377599999310000","168,125.056499999020000"
65,3,"533,835.596799999480000","154,531.519900001590000"
66,1,"517,302.045800000430000","142,823.451799999920000"
67,2,"515,669.029100000860000","154,021.996899999680000"
68,1,"504,150.545199997720000","88,247.095499999821000"
69,1,"504,790.364900000390000","87,604.015500001609000"
70,1,"504,972.389700002970000","87,601.566199999303000"
71,1,"502,494.004199996590000","125,975.633200000970000"
72,1,"515,529.011299997570000","155,334.263300001620000"
73,3,"514,174.943899996580000","135,784.141399998220000"
74,1,"504,351.539200000460000","124,840.411600001160000"
75,1,"504,545.210699997840000","124,796.283100001510000"
76,3,"490,343.167000003160000","124,487.861600000410000"
77,2,"513,500.841200001540000","135,234.860800001770000"
78,2,"512,798.718400001530000","134,196.348600000140000"
79,3,"488,729.927299998700000","107,907.273699998860000"
80,3,"489,618.218000002210000","107,365.217399999500000"
81,3,"510,799.869800001380000","132,324.621500000360000"
82,3,"485,445.027599997820000","106,518.261700000610000"
83,1,"505,863.684900000690000","130,905.286699999120000"
84,2,"512,565.983000002800000","129,802.490800000730000"
85,4,"491,442.551399998370000","97,870.110800001770000"
86,5,"489,805.515500001610000","127,419.763700000940000"
87,5,"480,683.020300000910000","96,503.152100000530000"
88,3,"565,275.743400000040000","89,297.659899998456000"
89,2,"564,716.045900002120000","89,333.069899998605000"
90,1,"504,718.367899999020000","88,068.423399999738000"
91,1,"505,048.778499998150000","88,018.491599999368000"
92,1,"505,102.092799998820000","87,527.493099998683000"
93,1,"566,058.000000000000000","85,738.885000001639000"
94,4,"499,647.359800003470000","147,623.637699998920000"
95,1,"562,166.628399997950000","84,653.278799999505000"
96,1,"561,187.601300001140000","84,094.989000000060000"
97,5,"510,239.128300003710000","175,356.725400000810000"
98,4,"527,527.767399996520000","214,940.758099999280000"
99,1,"516,284.023199997840000","157,332.605599999430000"
100,1,"517,264.557700000700000","157,310.693700000640000"
101,1,"509,927.638400003310000","194,485.562100000680000"
102,3,"521,562.663400001820000","169,262.443999998270000"
103,1,"518,529.731200002130000","157,547.641300000250000"
104,1,"499,512.375799998640000","91,997.206599999219000"
105,3,"507,710.378600001340000","196,956.318999998270000"
106,3,"520,284.330600000920000","182,747.749000001700000"
107,1,"518,577.977799996730000","159,713.756499998270000"
108,1,"518,832.508699998260000","159,662.381499998270000"
109,1,"516,689.690600000320000","156,874.095400001850000"
110,2,"515,055.142399996520000","153,155.529100000860000"
111,1,"514,603.274999998510000","182,598.449400000270000"
112,1,"513,381.957099996510000","182,469.344599999490000"
113,1,"517,811.534900002180000","157,690.940400000660000"
114,1,"518,247.942199997600000","157,673.449499998240000"
115,1,"512,427.504699997600000","159,067.138799998910000"
116,4,"538,251.804799996320000","167,273.735399998720000"
117,2,"516,335.251999996600000","139,655.920699998740000"
118,1,"514,266.485899999740000","153,402.855000000450000"
119,1,"517,090.054099999370000","156,338.941100001340000"
120,2,"514,024.358499996360000","158,554.163800001140000"
121,4,"510,551.004399999980000","158,082.611699998380000"
122,1,"518,384.736199997370000","161,120.115400001410000"
123,1,"523,076.949699997900000","163,238.571100000290000"
124,1,"518,227.193099997940000","159,461.664299998430000"
125,2,"509,793.546400003140000","112,458.641399998220000"
126,5,"507,774.171899996700000","148,105.836800001560000"
127,2,"519,094.859099999070000","159,845.314399998640000"
128,1,"519,468.255199998620000","160,323.727499999110000"
129,1,"529,164.431299999360000","165,238.320999998600000"
130,4,"523,175.384900003670000","189,113.557300001380000"
131,5,"517,482.086999997500000","164,027.611400000750000"
132,1,"509,834.806699998680000","193,316.968800000850000"
133,3,"512,801.765799999240000","184,530.374899998310000"
134,4,"509,850.725599996750000","141,810.173300001770000"
135,1,"518,438.657799996440000","157,588.123700000350000"
136,3,"542,600.063900001350000","149,453.917100001130000"
137,1,"516,444.019199997190000","150,219.241099998350000"
138,3,"498,726.456500001250000","149,567.794799998400000"
139,1,"516,917.122000001370000","157,503.930900000040000"
140,1,"516,595.678099997340000","156,460.563700001690000"
141,4,"530,153.688500002030000","155,467.640399999920000"
142,1,"518,679.476700000460000","158,315.586699999870000"
143,1,"518,530.700000002980000","158,266.552000001070000"
144,3,"509,120.879900000990000","156,885.246899999680000"
145,1,"516,621.868900001050000","157,241.622600000350000"
146,1,"517,162.880999997260000","155,976.089999999850000"
147,3,"517,939.831100001930000","144,885.660500001160000"
148,1,"565,475.310999996960000","85,641.157499998808000"
149,1,"517,701.354999996720000","157,428.545099999760000"
150,1,"516,390.343299999830000","157,115.620000001040000"
151,1,"517,509.250699996950000","157,109.443300001320000"
152,3,"505,565.822300001980000","153,075.879799999300000"
153,4,"506,193.322300001980000","156,599.613600000740000"
154,1,"516,057.825599998240000","157,376.171799998730000"
155,1,"516,528.153899997470000","155,725.822700001300000"
156,2,"501,133.484200000760000","154,769.491399999710000"
157,1,"517,038.275799997150000","156,784.231899999080000"
158,1,"517,263.977399997410000","156,662.226799998430000"
159,3,"538,878.302299998700000","151,007.645399998870000"
160,3,"542,544.318300001320000","143,214.781899999830000"
161,1,"510,170.353100001810000","156,545.871599998330000"
162,1,"504,245.179300002750000","88,312.429800000042000"
163,1,"507,313.485899999740000","125,820.481600001450000"
164,1,"504,855.589000001550000","125,019.214999999850000"
165,2,"520,020.394599996510000","119,152.733699999750000"
166,3,"495,862.240000002090000","101,905.306699998680000"
167,2,"482,949.390299998220000","101,965.598200000820000"
168,2,"511,488.616899997000000","91,266.899599999189000"
169,2,"511,743.552299998700000","135,295.293299999090000"
170,3,"489,228.417199999090000","107,788.181800000370000"
171,5,"479,874.723800003530000","104,942.444499999280000"
172,3,"510,296.908200003210000","131,585.569099999960000"
173,1,"505,798.149099998180000","130,899.247499998660000"
174,1,"509,895.407200001180000","130,817.558800000700000"
175,1,"505,785.247599996630000","130,507.727299999450000"
176,2,"498,144.105899997060000","98,048.125599998981000"
177,1,"500,497.397900000210000","124,048.376099999990000"
178,1,"504,720.191500000660000","87,968.042399998754000"
179,1,"569,386.443999998270000","87,133.821199998260000"
180,2,"510,197.703699998560000","131,239.583599999550000"
181,3,"510,059.929099999370000","130,960.655400000510000"
182,1,"501,825.119099996980000","156,405.802000001070000"
183,2,"568,743.835900001230000","84,470.394200000912000"
184,3,"504,595.679399997000000","119,957.597199998800000"
185,4,"504,697.684000000360000","119,017.286800000820000"
186,3,"526,689.533699996770000","164,534.355099998410000"
187,4,"505,309.493900001050000","216,239.801100000740000"
188,4,"512,985.945500001310000","216,097.109700001780000"
189,3,"501,375.814499996600000","197,599.657299999150000"
190,1,"516,986.189099997280000","156,726.886399999260000"
191,1,"515,355.425700001420000","156,795.526000000540000"
192,3,"500,315.626999996600000","92,892.158199999481000"
193,4,"501,110.096400000150000","194,866.800999999050000"
194,4,"531,161.925499998030000","171,998.145500000570000"
195,2,"514,079.086300000550000","182,380.684799999000000"
196,1,"513,727.985899999740000","181,950.610199999060000"
197,4,"530,193.189300000670000","152,175.007599998270000"
198,1,"518,059.487199999390000","158,685.346599999820000"
199,2,"506,739.571699999270000","152,572.635200001300000"
200,2,"519,094.565300002690000","162,091.984999999400000"
201,1,"517,011.514100000260000","157,009.839299999180000"
202,1,"517,078.586300000550000","156,999.232000000770000"
203,1,"515,828.954499997200000","155,184.277600001540000"
204,1,"516,921.167099997400000","156,757.140599999580000"
205,3,"510,365.848600000140000","155,072.231400001790000"
206,1,"509,950.047499999400000","194,328.971400000150000"
207,1,"509,369.086499996480000","129,483.113899998370000"
208,5,"528,159.170900002120000","179,866.695399999620000"
209,4,"532,244.450199998920000","179,804.897399999200000"
210,4,"524,057.161799997090000","163,189.519000001250000"
211,5,"508,748.887599997220000","178,590.344799999150000"
212,1,"518,785.173699997370000","158,206.230099998410000"
213,4,"534,436.156000003220000","178,558.619199998680000"
214,4,"515,374.575300000610000","177,227.904899999500000"
215,1,"509,918.553800001740000","194,548.843499999490000"
216,1,"518,475.594999998810000","159,937.792700000110000"
217,2,"519,080.700400002300000","160,245.002700001000000"
218,5,"528,773.387800000610000","170,224.462999999520000"
219,1,"519,387.863099999730000","159,813.188799999650000"
220,1,"517,099.013199999930000","157,921.198600001630000"
221,3,"527,660.313799999650000","157,725.734000001100000"
