OBJECTID_1,AreaCateg,POINT_X,POINT_Y
1,1,"517,302.045800000430000","142,823.451799999920000"
2,3,"517,431.351800002160000","142,157.322700001300000"
3,1,"518,677.936200000350000","143,130.061900001020000"
4,3,"517,851.072200000290000","142,565.373399998990000"
5,3,"516,876.417099997400000","142,275.847199998800000"
6,2,"517,446.605300001800000","142,872.725999999790000"
7,1,"518,596.740699999030000","142,228.467700000850000"
8,2,"518,052.711699999870000","143,070.451600000260000"
9,2,"517,242.251100003720000","142,703.814100001010000"
10,1,"516,916.951399996880000","142,833.403499998150000"
11,2,"517,215.842200003560000","142,498.596400000150000"
12,3,"516,673.002800002690000","142,546.193100001660000"
13,1,"517,102.822400003670000","142,822.036299999800000"
14,2,"518,437.212600000200000","142,859.090700000520000"
15,2,"517,647.129399999980000","142,870.852899998430000"
16,3,"518,223.693199999630000","142,572.248199999330000"
17,3,"518,677.558300003410000","142,558.438200000670000"
18,2,"517,094.133599996570000","142,642.723700001840000"
19,1,"517,185.053999997680000","142,344.613499999050000"
20,1,"516,586.815200001000000","142,693.956500001250000"
21,3,"517,102.471699997780000","143,023.230399999770000"
22,2,"516,852.453800000250000","142,488.798799999060000"
23,1,"518,571.415200002490000","143,120.809399999680000"
24,3,"518,248.882100000980000","142,951.528099998830000"
25,2,"517,850.218400001530000","142,869.254900000990000"
26,2,"518,053.318199999630000","142,867.286299999800000"
27,3,"517,545.742600001390000","142,465.587699998170000"
28,2,"516,630.229999996720000","142,981.903400000180000"
29,3,"518,361.877199999990000","142,221.321699999270000"
30,2,"518,862.949299998580000","142,294.250000000000000"
31,1,"516,791.156099997460000","142,838.096200000490000"
32,2,"518,435.812299996610000","142,554.543000001460000"
33,1,"516,829.778999999170000","142,921.660700000820000"
34,1,"518,626.571699999270000","142,303.048500001430000"
35,2,"517,646.590899996460000","143,073.184099998330000"
36,1,"518,720.590400002900000","142,287.435800001030000"
37,1,"517,241.313100002710000","142,823.374099999670000"
38,2,"517,647.655000001190000","142,668.522500000890000"
39,2,"516,968.462200000880000","142,677.099899999800000"
40,2,"518,043.314000003040000","142,536.106899999080000"
41,3,"517,951.309600003060000","142,126.206000000240000"
42,2,"517,444.393200002610000","143,074.820900000630000"
43,2,"518,435.967000000180000","143,066.117499999700000"
44,2,"518,916.420699998740000","142,557.023400001230000"
45,2,"517,448.117100000380000","142,670.400699999180000"
46,1,"516,845.563400000330000","142,685.663300000130000"
47,2,"517,849.637500002980000","143,071.827500000600000"
48,2,"516,796.566399998960000","143,065.256599999960000"
49,2,"516,994.247100003060000","142,472.881400000300000"
50,2,"518,590.926299996670000","142,931.887200001630000"
