OBJECTID_1,AreaCateg,POINT_X,POINT_Y
1,3,"514,174.943899996580000","135,784.141399998220000"
2,2,"516,335.251999996600000","139,655.920699998740000"
3,1,"514,027.099500000480000","139,412.050000000750000"
4,4,"514,497.511699996890000","140,071.998300001030000"
5,3,"517,617.146999999880000","136,027.462200000880000"
6,3,"518,852.845200002190000","141,369.469599999490000"
7,2,"516,476.388300001620000","140,504.787900000810000"
8,1,"516,720.426100000740000","140,333.411499999460000"
9,4,"520,069.147399999200000","141,080.525499999520000"
10,2,"515,828.699900001290000","140,254.371599998330000"
11,4,"515,317.543799996380000","136,141.087000001220000"
12,1,"516,624.583800002930000","140,345.120400000360000"
13,3,"515,779.595299996440000","138,247.590199999510000"
14,2,"515,793.495399996640000","140,496.537500001490000"
15,4,"518,735.397600002590000","136,411.316100001340000"
16,1,"515,547.528599999850000","140,686.204799998550000"
17,2,"517,349.508199997250000","141,274.532499998810000"
18,1,"516,718.335400000210000","140,194.182799998670000"
19,2,"516,002.973200000820000","139,303.914000000800000"
20,1,"516,349.832800000910000","140,009.012800000610000"
21,2,"515,776.733499996360000","139,694.640200000260000"
22,1,"516,456.163800001140000","140,346.023899998520000"
23,3,"517,106.094499997790000","140,563.158599998800000"
24,3,"517,045.363300003110000","139,691.345699999480000"
25,1,"517,199.464100003240000","141,272.146699998530000"
26,1,"515,616.451999999580000","140,506.195399999620000"
27,1,"515,759.330600000920000","140,736.785300001500000"
28,1,"516,056.854900002480000","140,130.278599999850000"
29,1,"515,532.699799999590000","140,410.097600001840000"
30,2,"517,076.611400000750000","141,269.674400001760000"
31,2,"516,159.593699999150000","139,832.879299998280000"
32,1,"515,729.489000000060000","139,328.760000001640000"
33,2,"514,535.707099996510000","135,711.723000001160000"
34,1,"515,694.985500000420000","140,652.772999998180000"
35,4,"516,323.162799999120000","138,277.649799998850000"
36,1,"515,511.677400000390000","139,449.900899998840000"
37,2,"516,465.942000001670000","139,970.489999998360000"
38,1,"516,665.287900000810000","139,999.065000001340000"
39,3,"520,673.606899999080000","140,564.150899998840000"
40,2,"515,979.174500003460000","140,515.585299998520000"
41,2,"516,791.333200000230000","140,113.246100001040000"
42,1,"516,946.414599999790000","141,113.764499999580000"
43,2,"515,816.503300003710000","139,568.617800001060000"
44,2,"515,840.968199998140000","139,432.642700001600000"
45,4,"517,303.496200002730000","137,891.527499999850000"
46,3,"515,715.452500000600000","136,208.037999998780000"
47,3,"518,400.390799999240000","135,986.808400001380000"
48,3,"519,509.774300001560000","138,923.954700000580000"
49,5,"514,072.462600000200000","136,795.528299998490000"
50,1,"515,653.852099999790000","140,911.072299998250000"
51,3,"513,978.790600001810000","139,437.263000000270000"
52,4,"517,636.907999999820000","136,417.366900000720000"
53,1,"514,469.426700003450000","135,897.090199999510000"
54,2,"516,453.539899997410000","140,187.486900001760000"
55,2,"516,223.848399996760000","140,063.390299998220000"
56,3,"515,110.386399999260000","140,288.488800000400000"
57,1,"515,576.217100001870000","139,483.875000000000000"
58,4,"517,425.837200000880000","139,343.708099998530000"
59,1,"516,997.659100003540000","141,571.092599999160000"
60,4,"517,336.825000002980000","138,712.131999999280000"
61,4,"520,742.725699998440000","141,237.480500001460000"
62,3,"515,953.563299998640000","137,790.461399998520000"
63,1,"515,600.036899998780000","140,560.634300000970000"
64,4,"515,263.331699997190000","141,579.707800000910000"
65,1,"516,772.049599997700000","140,372.662599999460000"
66,1,"516,599.610200002790000","140,245.690000001340000"
67,2,"516,481.812899999320000","139,323.802000001070000"
68,2,"515,882.575599998240000","139,233.892900001260000"
69,2,"516,135.273400001230000","139,310.399799998850000"
70,1,"516,893.007299996910000","140,278.163199998440000"
71,3,"514,361.959200002250000","139,259.737300001080000"
72,2,"516,062.178400002420000","139,914.759700000290000"
73,3,"516,718.677799999710000","141,153.890799999240000"
74,1,"516,149.063299998640000","138,898.780000001190000"
75,2,"516,056.454800002280000","140,007.804400000720000"
76,1,"516,894.728900000450000","140,377.825399998580000"
77,1,"516,689.107100002470000","140,299.371100001040000"
78,3,"515,060.199600003660000","136,812.779899999500000"
79,4,"518,846.090199999510000","137,942.077599998560000"
80,4,"517,611.024199999870000","140,175.592300001530000"
81,1,"516,433.732100002470000","137,434.087799999860000"
82,3,"516,212.646399997170000","140,614.911800000820000"
83,4,"520,127.189300000670000","140,340.181200001390000"
84,1,"515,571.361400000750000","140,618.397300001230000"
85,4,"515,235.650700002910000","138,503.978100001810000"
86,4,"518,661.872900001700000","137,142.905600000170000"
87,2,"515,580.802400000390000","139,233.851399999110000"
88,2,"517,950.835699997840000","141,250.502199999990000"
89,1,"516,653.248000003400000","140,279.949799999590000"
90,2,"515,482.940899997950000","139,167.222399998460000"
91,1,"515,659.497599996630000","140,398.604499999430000"
92,3,"518,316.980599999430000","138,922.348499998450000"
93,4,"518,920.572400003670000","139,543.886199999600000"
94,2,"516,306.686700001360000","139,323.086800001560000"
95,1,"516,406.303300000730000","139,166.646699998530000"
96,2,"515,824.297799997030000","139,977.842900000510000"
97,2,"514,517.042499996720000","136,073.912900000810000"
98,1,"516,605.847499996420000","140,099.453699998560000"
99,2,"516,192.205300003290000","139,057.727099999790000"
100,3,"515,899.705099999900000","138,827.806800000370000"
101,3,"517,613.040500000120000","141,316.617400001730000"
102,1,"516,028.133699998260000","140,426.229299999770000"
103,2,"515,782.011200003330000","139,272.430900000040000"
104,4,"516,878.543300002810000","136,706.441300001000000"
105,2,"516,351.328699998560000","139,819.559300001710000"
106,1,"514,035.212099999190000","140,054.323899999260000"
107,2,"516,138.615599997340000","139,515.724500000480000"
108,3,"515,882.355999998750000","141,106.767099998890000"
109,1,"516,891.386600002650000","141,491.112500000750000"
110,4,"514,260.534900002180000","138,076.147100001570000"
111,3,"517,867.955200001600000","137,099.830400001260000"
112,1,"515,793.918099999430000","140,621.309200000020000"
113,4,"517,540.209799997510000","140,967.239100001750000"
114,4,"519,054.739399999380000","141,042.172100000080000"
115,2,"516,038.871600002050000","139,835.135400000960000"
116,2,"515,811.757399998610000","139,824.883299998940000"
117,3,"517,477.088100001220000","137,099.466699998830000"
118,2,"515,596.552400000390000","140,822.313099998980000"
119,4,"515,848.385899998250000","136,869.208200000230000"
120,3,"516,695.597900003190000","140,575.772799998520000"
121,4,"515,309.893299996850000","139,816.371199999000000"
122,3,"518,262.504600003360000","141,390.935600001360000"
123,1,"516,230.563299998640000","139,745.276700001210000"
124,3,"519,503.067599996920000","138,502.034200001510000"
125,1,"515,101.954000003640000","140,671.467900000510000"
126,2,"516,081.667000003160000","140,269.626699998970000"
127,4,"518,905.263599999250000","138,707.464899998160000"
128,1,"515,634.500900000330000","139,312.505100000650000"
129,2,"516,100.211099997160000","139,666.456700000910000"
130,1,"516,407.884700000290000","139,528.703499998900000"
131,2,"516,628.359999999400000","139,339.905200000850000"
132,2,"515,822.176299996670000","140,091.829199999570000"
133,3,"515,519.089599996810000","137,760.477400001140000"
134,3,"514,757.709299996500000","135,985.131200000640000"
135,4,"518,927.736100003120000","140,354.452599998560000"
136,3,"516,320.112300001080000","141,167.248500000690000"
137,2,"515,613.302900001410000","139,571.935199998320000"
138,2,"516,258.921099998060000","140,301.712099999190000"
